fen,tactical_label
rn1qkb1r/1pp1ppp1/p2p3n/3P1b1p/5N2/5P2/PPP1P1PP/RNBQKB1R b Qkq - 2 7,2
r1bqkb1r/pp1pp2p/n4p1n/2p3p1/1P6/2NP2P1/P1P1PP1P/1RBQKBNR w Kkq - 0 6,3
2kr1b1r/pppqpb1p/2np3p/1B3p2/P2PP3/R4P2/1PPK2PP/1NB3NR b - - 1 12,3
rnbqkbnr/3pp1p1/1p5p/p1p2p2/4NP2/1P4P1/P1PPPK1P/R1BQ1BNR b kq - 0 6,0
r1bqkb1r/pppppp1p/8/P1n2Pp1/3n4/2NBP3/1PPP2PP/1RBQK1NR w Kkq - 3 9,3
r1bqkbnr/p1ppp1p1/8/Qp3p2/1n5p/PP1PB2P/2P1PPP1/RN2KBNR w KQkq - 2 9,3
r1bq1b1r/ppppkpp1/2n1pn2/7p/2P1QP2/N3P3/PP1P2PP/R1B1KBNR b KQ - 1 6,0
1rbqkbnr/1p1pppp1/2p4B/4P2p/pP5P/2N2n2/P1PK1PP1/R2Q1BNR w k - 2 9,1
rn1qkb1r/ppp1pp1p/4b1p1/7n/PP1Pp3/N6P/RBP1PPP1/4KBNR b K - 1 9,3
rnb1kbnr/p2ppp2/7q/1pp3Np/PPP1P3/R7/3P1PPP/1NBQKB1R w Kkq - 1 10,3
rn2kb1r/pppbpppp/3q1n2/3p4/1P2P3/P1P5/2QP1PPP/RNB1KBNR b KQkq - 2 7,3
r1bk1qnr/p5pp/2npp3/1pp2p2/5PP1/NPPP3B/P3P2P/R1BQK1NR b KQ - 0 11,2
r1bqkb1r/p1pp4/Bpn1pp2/3n2pp/P7/1PP1PQ2/3P1PPP/RNB1K1NR w KQkq - 0 9,3
r1b1kbnr/p2ppppp/1p6/qBP4N/4P3/8/P1QP1PPP/RNB1K2R b KQkq - 0 9,3
rnbqk1nr/p3p2p/2p4b/3p4/P2NPpp1/6P1/1PPPBP1P/R1BQ1KNR b kq - 1 9,3
r1bqkbnr/2pp1p1p/ppn1p1p1/8/3P3P/7R/PPP1PPPN/RNBQKB2 b Qkq - 1 6,3
r1b2knr/p2qbp1p/np2p3/2pp2p1/P4PKP/1P2PN2/2PP2P1/RNBQ1B1R w - - 0 10,3
r1bq2n1/1ppppk1r/7b/p5pp/1PP2p2/P2KPPPP/3PQ1B1/RNB3NR b - - 1 13,3
1rbqkbnr/p1ppN1pp/2n5/5p2/1p5P/P7/1PPPPPP1/RNBQKB1R b KQk - 0 6,3
rnbqkbnr/p5p1/4p3/1ppp1p1p/8/2NBP3/PPPPQPPP/R1B1K1NR w KQkq - 0 7,3
r2qkb1r/2p1p1pp/bp3p1n/p2pnP2/8/2P1P1P1/PP1PKN1P/RNBQ1B1R w kq - 3 10,1
rnb1kbn1/1p1pq2r/p3p1p1/1BpN1p1p/PP5P/4PQ2/2PP1PP1/R1B1K1NR w KQq - 0 10,3
r1b1kbnr/ppp1pppp/n2p4/8/1PPP2q1/N6P/P3PPP1/R1BQKBNR b Kkq - 0 7,3
rn1qk2r/pp2nppp/3p1b2/2p1B3/1P1PQ1PP/8/b1P1PP2/RN2KBNR w KQkq - 0 10,3
r1b1kb1r/pp1qpp1p/2p1Q3/8/P1p3n1/N7/1B1PPPPP/R2K1BNR b kq - 0 12,3
r1b1k1nr/1p4p1/1qn2p2/p1ppp2p/PN3P2/R6P/1PPPP1PR/2BQKBN1 b kq - 0 12,3
rnbq2nr/p2pkp1p/1pp1p2b/6N1/P5PP/1PP2P1B/3PP3/RNBQK2R b KQ - 2 11,0
rnb1kbnr/p1p2pp1/3pq2p/1p6/PP1pP3/2N3P1/2PPKP1P/R1BQ1B1R b kq - 0 8,3
rn1qkb1r/p4ppp/4pn2/1ppp4/2P2P2/1P1P3b/P2BP2P/RN1QKBNR w KQkq - 2 9,3
rnb2bnr/pp1pqk1p/2p1p2B/4Pp2/6p1/N2P2PP/PPP1QP2/2R1KBNR w K - 0 11,3
r1bqk1nr/pp1pb1pp/n4p1P/4p3/2p1P3/3P1N1R/1PPN1PP1/1RBQKB2 b kq - 0 10,3
r1bqk1nr/1pnp1p1p/2p1p3/p1b1P1p1/N2N2PP/8/PPPP1P2/R1BQKB1R b KQkq - 4 8,3
r1b1kbnr/p2p1ppp/n1p1p3/qp6/3N2PP/5P2/PPPPP3/RNBQKB1R w KQkq - 1 6,3
2b1kb1r/r1pnp1p1/B2q4/pp1p1p1p/1nP1P3/P2P1P1P/5KPR/RNBQ2N1 w k - 0 12,3
r1bqkbnr/p1p1p1p1/5p2/1pPp1P1p/Pn2P3/3P4/1P4PP/RNBQKBNR w KQkq - 1 8,3
1r1q1bnr/1pp3pp/3k1p2/p1npp3/1P2B2P/N5PN/P1PPPP2/R1BQK2R w Q - 1 13,3
rnbqkb1r/3p1p1p/2p2n1P/pp2p1pR/8/1PN2N2/P1PPPPP1/R1BQKB2 w Qkq - 0 9,3
