fen,is_tactical
rnbqk1nr/p1pp1pp1/1p1b3p/4p3/4P3/PPP5/1B1PBPPP/RN1QK1NR b KQkq - 1 6,0
rnbqkb1r/ppppppp1/5n2/7p/4PP2/6P1/PPPP3P/RNBQKBNR b KQkq - 0 3,1
rnbqkbnr/2p1pppp/p3N3/1p6/2Pp2P1/8/PP1PPP1P/RNBQKBR1 b Qkq - 1 6,1
rnbqkbnr/1ppp1p2/8/p3p1pp/P2P4/R3P2N/1PP1KPPP/1NBQ1B1R b kq - 1 6,1
rnbqkbnr/2p1ppp1/pp5p/3p4/8/2N1PN2/PPPPBPPP/R1BQ1RK1 b kq - 1 5,0
r1bqkbn1/p1pppppr/n1N4p/1p6/5P2/7P/PPPPP1P1/RNBQKB1R b KQq - 3 5,1
rnbqk1nr/pppp3p/5pp1/2b1p3/1P3PP1/B6P/P1PPP3/RN1QKBNR b KQkq - 0 5,0
rnb1kbnr/pppp1ppp/4pq2/8/P7/5P1P/1PPPP1P1/RNBQKBNR b KQkq - 0 3,0
rnbqk2r/p1pp1p1p/3bpnp1/1p6/P2N2P1/2P5/1P1PPP1P/RNBQKB1R b KQkq - 0 6,1
r1bqkbnr/p1ppp1p1/1pn2p1p/8/4P3/2PP4/PP1K1PPP/RNBQ1BNR w kq - 0 5,0
r1bqkbnr/pp2pppp/2n5/2p5/3p2PN/P7/1PPPPP1P/RNBQKB1R w KQkq - 2 5,1
rnbqkbnr/1pppp1p1/5p2/pB5p/6Q1/4P3/PPPP1PPP/RNB1K1NR w KQkq - 0 4,0
r1bqkbnr/1pp1p1pp/8/p3np2/1Pp5/1Q1P3N/P3PPPP/RNB1KB1R w KQkq - 2 7,1
rnbq1bnr/ppp1kppp/8/3pp3/4P3/NP3P2/P1PP2PP/R1BQKBNR b KQ - 0 4,0
rnbk1bnr/1ppp1ppp/8/pB2p1q1/P3PP2/N1P5/1P1P2PP/R1BQK1NR b KQ - 4 6,0
r1bqkbnr/pppp1ppp/8/4p3/8/N2P2PN/P1PP1P1P/R1BQKB1R b KQkq - 0 5,1
r1bqkbnr/pp1ppp1p/n7/2p3p1/4P1P1/5N2/PPPP1P1P/RNBQKB1R w KQkq - 0 4,1
rnbqkbnr/ppp3pp/3p4/4pp2/8/P1N4N/1PPPPPPP/R1BQKB1R b KQkq - 1 5,0
rnbq1bnr/ppp1pkpp/5p2/3p4/P7/5P2/1PPPP1PP/RNBQKBNR w KQ - 1 5,0
1nbqkbnr/r1ppp1p1/7p/pp3p2/P2P3P/2P1P3/1P2QPP1/RNB1KBNR w KQk - 0 7,0
rnbqkbnr/ppp1ppp1/3p4/7p/4P3/7N/PPPPBPPP/RNBQK2R b KQkq - 1 3,0
r1bqk1nr/pppp1p1p/2n5/2b1p1p1/1P6/N5PP/P1PPPP2/R1BQKBNR w KQkq - 2 5,1
rnbqkb1r/ppp2ppp/4p2n/3p4/7P/1P5R/P1PPPPP1/RNBQKBN1 w Qkq - 0 4,1
rnbqk1nr/p1pp2pp/4pp2/Pp6/1P6/b2BP3/2PP1PPP/RNBQK1NR b KQkq - 0 5,0
rnbqkbnr/ppp1p1pp/8/3p1p2/1P1P4/6P1/P1P1PP1P/RNBQKBNR b KQkq - 0 3,0
r1b1kbnr/pppp1ppp/2n5/P3p1q1/1P4P1/7N/2PPPP1P/RNBQKB1R b KQkq - 0 5,1
rnbqk1nr/ppppbp1p/4p1p1/2P5/P7/8/1P1PPPPP/RNBQKBNR w KQkq - 0 4,0
rnbqkbnr/pppp3p/8/4ppp1/4P2P/6P1/PPPP1P2/RNBQKBNR w KQkq - 0 4,1
r1bqkbnr/ppp1pppp/n7/3p4/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 3 3,0
rnbqkb1r/1ppppppp/5n2/p7/8/N3PN2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,0
rnbqkb1r/pppp1pp1/4pn1p/8/2P2P2/P7/1P1PP1PP/RNBQKBNR w KQkq - 0 4,0
1rbq1bnr/ppp1pppp/n3k3/3P4/5P2/7N/PP1PP1PP/RNBQKBR1 b Q - 0 6,1
r1bqkb1r/p1pp1p1p/1pn4n/6p1/4pPP1/3P3N/PPPKP2P/RNBQ1B1R w kq - 0 7,1
rnb1kb1r/p2p1ppp/5n2/1pp1p1q1/5PP1/N3K2B/PPPPP2P/R1BQ2NR w kq - 0 7,1
rnbqk2r/ppp2ppp/4pn2/2bp4/1P4P1/B4P2/P1PPP2P/RN1QKBNR w KQkq - 1 5,1
rnbqkbnr/ppp1pp2/3p3p/6p1/6PP/7B/PPPPPP2/RNBQK1NR w KQkq - 0 4,0
1nbqkb1r/rppp1ppp/8/p3pn2/4N1P1/P6N/1PPPPP1P/R1BQKB1R w KQk - 2 6,1
rnb1k1nr/ppppbppp/5q2/4p3/8/N5PP/PPPPPP2/1RBQKBNR w Kkq - 3 5,0
rnbqk2r/pp1ppp2/2p2n1b/1B4pp/3P3P/P3PN2/1PP2PP1/RNBQK2R w KQkq - 2 7,1
rnbqkb1r/3ppppp/8/ppp5/1P4PP/2P5/P2PPKP1/RNBQ1BNR b kq - 0 6,1
1nbqk1nr/rppp1ppp/8/p3p3/Pb3P2/7N/2PPPKPP/RNBQ1B1R w k - 0 7,1
r1bqkbnr/pppppp2/2n3p1/7p/4P1Q1/1B6/PPPP1PPP/RNB1K1NR b KQkq - 1 4,1
1nb1kbnr/rp1ppp1p/pq4p1/1p5P/8/7R/PBPPPPP1/RN1QKBN1 w Qk - 4 7,1
r1bqkbnr/1pp1ppp1/p1n5/3p3p/7P/P2P3N/1PP1PPP1/RNBQKB1R w KQkq - 0 5,0
rnbqkbnr/p1ppppp1/1p5p/8/2P5/5Q2/PP1PPPPP/RNB1KBNR b KQkq - 1 3,0
rnbqkb1r/pp3ppp/2ppp3/5nB1/6P1/1P1P3P/P1P1PP2/RN1QKBNR w KQkq - 0 6,1
rnbqkbnr/pppp1pp1/8/4p3/P5Pp/4P3/1PPP1P1P/RNBQKBNR w KQkq - 0 4,0
rnbqkbnr/ppp2ppp/8/3pp3/N7/P7/1PPPPPPP/R1BQKBNR b KQkq - 0 3,1
r1bqkbnr/2ppp1pp/2n5/pp3p2/P2P1B2/8/1PPNPPPP/R2QKBNR w KQkq - 0 6,1
rnbqkb1r/ppp1pp1p/7n/3p2pQ/8/4P3/PPPPBPPP/RNBK2NR w kq - 2 6,0
r1bqkb1r/ppp1pppp/7n/n7/P1Pp4/1P3N1P/3PPPP1/RNBQKB1R w KQkq - 0 6,0
r1bqkbnr/pppp2p1/2n2p2/4p2p/7P/NQP5/PP1PPPP1/R1B1KBNR w KQkq - 0 5,0
r1b1kbnr/pppp2pp/2n5/4ppq1/1P6/2N3PP/P1PPPP2/R1BQKBNR w KQkq - 1 5,1
r1bqkbnr/ppp1ppp1/2n4p/1B1p4/8/2N1P3/PPPP1PPP/R1BQK1NR w KQkq - 2 4,0
rnbqkbnr/pp1pp1pp/8/2p1P3/5p2/1P6/P1PP1PPP/RNBQKBNR w KQkq - 0 4,1
r1bqkbnr/1pppppp1/2n5/5P1p/p7/P2PP2N/1PP3PP/RNBQKB1R w KQk - 0 7,0
rnb1kbnr/pp1pppp1/1qp4p/8/8/2N2P1P/PPPPP1PR/R1BQKBN1 b Qkq - 1 4,1
rnbqk1nr/pppp1pbp/4p3/6P1/6PP/8/PPPPP3/RNBQKBNR b KQkq - 0 4,0
rnbqkbnr/p1p1ppp1/8/1p1p3p/Q7/P1P5/1P1PPPPP/RNBK1BNR b kq - 1 4,1
rnbqkb1r/pppp1ppp/4p2n/8/P3P3/6P1/1PPP1P1P/RNBQKBNR b KQkq - 0 3,0
